ID,Stop Name,Latitude,Longitude
185308032,Dolphin Avenue,55.894379,-3.315325
185147275,Pentland View Court,55.895424,-3.312387
184954891,Currie Library,55.896423,-3.308886
185237189,Currie Primary School,55.897762,-3.313857
185223490,Weavers Knowe Crescent,55.898739,-3.313554
185042079,Corslet Road,55.901165,-3.310165
185114461,Garden Centre,55.903728,-3.311308
185483324,The Avenue,55.910168,-3.317524
185613656,Heriot Watt Campus,55.909092,-3.319919
185484807,The Avenue,55.910278,-3.317544
185878824,Boundary Road North,55.912251,-3.324474
186137126,Jack Copland Centre,55.913406,-3.329025
185880228,Research Avenue North,55.914742,-3.324351
185310429,Hermiston Park & Ride,55.917332,-3.314007
185649954,Hermiston Walk,55.917583,-3.320064
185349449,Hermiston Roundabout,55.917953,-3.314668
184320221,Burtons Biscuits Factory,55.921532,-3.296051
184085450,Bankhead Loan,55.92321,-3.291754
184204472,Bankhead Medway,55.926849,-3.293668
184256456,Bankhead Avenue,55.927044,-3.294586
184143341,Edinburgh College,55.92802,-3.292506
184967968,Hermiston Gait Retail Park,55.927368,-3.307289
184540897,Bankhead Broadway,55.928043,-3.299613
183823139,Broomhouse Roundabout,55.929462,-3.286696
184954788,Drummond House,55.932938,-3.306724
184883550,Teviot House,55.931286,-3.305548
184713070,South Gyle Crescent Lane,55.929829,-3.302586
185019017,Edinburgh Park Station,55.927719,-3.308181
184546329,South Gyle Trade Park,55.93013,-3.299587
184359770,Gyle Square,55.930748,-3.296215
185434385,Gyle Centre (Stop KA),55.938042,-3.314996
185427470,Gyle Centre (Stop KB),55.938251,-3.31486
185412463,Gyle Centre (Stop KC),55.938297,-3.314589
185391920,Gyle Centre (Stop KD),55.938141,-3.314231
185404839,Gyle Centre (Stop KE),55.93787,-3.314478
185413253,Gyle Centre (Stop KF),55.937759,-3.314635
185621989,Gyle Roundabout,55.937954,-3.318355
184805097,South Gyle Park,55.934288,-3.303968
185475240,Lochside Crescent,55.934708,-3.315924
185331265,Lochside Place,55.933189,-3.31344
185103867,Redheughs Avenue,55.933197,-3.309374
184585568,South Gyle Mains,55.933563,-3.300086
184447132,South Gyle Wynd,55.933105,-3.297638
184159565,Forrester High School,55.931164,-3.292611
184104580,Bankhead Drive,55.929871,-3.291704
183915163,Calder Drive,55.919163,-3.288947
183619323,Baberton Mains Green,55.908428,-3.284287
183893850,Baberton Mains Park,55.909283,-3.289147
184028280,Baberton Mains Dell,55.910904,-3.291456
